Plant Name,Operator Name,Plant State,"Reported
Fuel Type Code",Quantity,Netgen
Barry,Alabama Power Co,AL,NG,"41,646","397,842"
Barry,Alabama Power Co,AL,NG,"7,803,343","791,439"
Barry,Alabama Power Co,AL,BIT,"44,058","74,700"
Barry,Alabama Power Co,AL,NG,"679,765","59,224"
Barry,Alabama Power Co,AL,SUB,0,0
Greene County,Alabama Power Co,AL,DFO,"3,574","1,247"
Greene County,Alabama Power Co,AL,NG,"20,157","1,252"
Greene County,Alabama Power Co,AL,NG,"583,895","55,508"
E C Gaston,Alabama Power Co,AL,DFO,156,35
E C Gaston,Alabama Power Co,AL,BIT,"80,186","148,090"
E C Gaston,Alabama Power Co,AL,NG,"260,557","22,176"
Browns Ferry,Tennessee Valley Authority,AL,NUC,0,"729,985"
Browns Ferry,Tennessee Valley Authority,AL,NUC,0,"946,042"
Browns Ferry,Tennessee Valley Authority,AL,NUC,0,"899,362"
J K Smith,"East Kentucky Power Coop, Inc",KY,DFO,3,1
J K Smith,"East Kentucky Power Coop, Inc",KY,NG,"1,482,880","125,533"
Lowman Energy Center,PowerSouth Energy Cooperative,AL,NG,0,"112,098"
Lowman Energy Center,PowerSouth Energy Cooperative,AL,NG,"2,061,569","221,726"
Whelan Energy Center,City of Hastings - (NE),NE,DFO,482,262
Whelan Energy Center,City of Hastings - (NE),NE,RC,0,0
Whelan Energy Center,City of Hastings - (NE),NE,SUB,"111,074","171,614"
Beluga,Chugach Electric Assn Inc,AK,NG,"84,673","4,559"
J S Eastwood,Southern California Edison Co,CA,WAT,0,0
Holcomb,Sunflower Electric Power Corp,KS,NG,"5,980",591
Holcomb,Sunflower Electric Power Corp,KS,SUB,"104,306","164,189"
Cholla,Arizona Public Service Co,AZ,BIT,0,0
Cholla,Arizona Public Service Co,AZ,DFO,4,2
Cholla,Arizona Public Service Co,AZ,NG,145,12
Cholla,Arizona Public Service Co,AZ,SUB,"135,583","236,495"
Ocotillo,Arizona Public Service Co,AZ,NG,"593,116","62,436"
West Phoenix,Arizona Public Service Co,AZ,NG,0,"4,553"
West Phoenix,Arizona Public Service Co,AZ,NG,"1,068,484","110,279"
West Phoenix,Arizona Public Service Co,AZ,DFO,0,0
West Phoenix,Arizona Public Service Co,AZ,NG,"581,976","65,693"
West Phoenix,Arizona Public Service Co,AZ,DFO,.,.
West Phoenix,Arizona Public Service Co,AZ,NG,0,0
Yucca,Arizona Public Service Co,AZ,DFO,207,82
Yucca,Arizona Public Service Co,AZ,NG,"252,251","17,809"
Yucca,Arizona Public Service Co,AZ,NG,0,0
Yucca,Arizona Public Service Co,AZ,RFO,0,0
H Wilson Sundt Generating Station,Tucson Electric Power Co,AZ,DFO,0,0
H Wilson Sundt Generating Station,Tucson Electric Power Co,AZ,NG,0,0
H Wilson Sundt Generating Station,Tucson Electric Power Co,AZ,NG,"473,891","55,060"
H Wilson Sundt Generating Station,Tucson Electric Power Co,AZ,NG,0,0
H Wilson Sundt Generating Station,Tucson Electric Power Co,AZ,RFO,0,0
Cross,South Carolina Public Service Authority,SC,BIT,"329,294","748,572"
Cross,South Carolina Public Service Authority,SC,DFO,"7,308","3,959"
Cross,South Carolina Public Service Authority,SC,PC,0,0
Seminole (FL),Seminole Electric Cooperative Inc,FL,NG,0,"249,872"
Seminole (FL),Seminole Electric Cooperative Inc,FL,NG,"4,687,324","512,728"
Seminole (FL),Seminole Electric Cooperative Inc,FL,BIT,"118,738","268,783"
Seminole (FL),Seminole Electric Cooperative Inc,FL,DFO,"1,521",809
Agua Fria,Salt River Project,AZ,MWH,"2,409",-419
Agua Fria,Salt River Project,AZ,DFO,0,0
Agua Fria,Salt River Project,AZ,NG,"3,657",374
Agua Fria,Salt River Project,AZ,SUN,0,0
Agua Fria,Salt River Project,AZ,DFO,0,0
Agua Fria,Salt River Project,AZ,NG,0,0
Horse Mesa,Salt River Project,AZ,WAT,0,380
Horse Mesa,Salt River Project,AZ,WAT,112,-89
Kyrene,Salt River Project,AZ,NG,0,"23,760"
Kyrene,Salt River Project,AZ,NG,"506,943","47,520"
Kyrene,Salt River Project,AZ,DFO,61,20
Kyrene,Salt River Project,AZ,NG,"3,208",184
Mormon Flat,Salt River Project,AZ,WAT,0,192
Mormon Flat,Salt River Project,AZ,WAT,43,-43
Glen Canyon Dam,U S Bureau of Reclamation,AZ,WAT,0,"293,322"
Hoover Dam (NV),U S Bureau of Reclamation,NV,WAT,0,"50,660"
Apache Station,Arizona Electric Pwr Coop Inc,AZ,DFO,0,0
Apache Station,Arizona Electric Pwr Coop Inc,AZ,NG,"103,488","10,260"
Apache Station,Arizona Electric Pwr Coop Inc,AZ,BIT,0,0
Apache Station,Arizona Electric Pwr Coop Inc,AZ,NG,"1,354,561","128,156"
Apache Station,Arizona Electric Pwr Coop Inc,AZ,SUB,"24,810","40,684"
GREC,Grand River Dam Authority,OK,NG,0,"64,271"
GREC,Grand River Dam Authority,OK,NG,"1,326,962","139,551"
GREC,Grand River Dam Authority,OK,NG,"59,955","4,697"
GREC,Grand River Dam Authority,OK,SUB,"96,232","123,010"
Degray,USCE -Vickburg District,AR,WAT,0,"19,115"
Degray,USCE -Vickburg District,AR,WAT,0,"19,115"
Clinton Power Station,Constellation Nuclear,IL,NUC,0,"815,580"
Wolf Creek Generating Station,Wolf Creek Nuclear Optg Corp,KS,NUC,0,"912,547"
Belden,Pacific Gas & Electric Co.,CA,WAT,0,0
Caribou 2,Pacific Gas & Electric Co.,CA,WAT,0,"37,810"
Electra,Pacific Gas & Electric Co.,CA,WAT,0,"30,221"
Haas,Pacific Gas & Electric Co.,CA,WAT,0,"40,907"
Humboldt Bay,Pacific Gas & Electric Co.,CA,DFO,140,90
Humboldt Bay,Pacific Gas & Electric Co.,CA,NG,"232,610","27,914"
Humboldt Bay,Pacific Gas & Electric Co.,CA,OBG,0,0
James B Black,Pacific Gas & Electric Co.,CA,WAT,0,"53,166"
Dynegy Moss Landing Power Plant Hybrid,Dynegy -Moss Landing LLC,CA,MWH,"43,138","-7,578"
Dynegy Moss Landing Power Plant Hybrid,Dynegy -Moss Landing LLC,CA,NG,0,"187,417"
Dynegy Moss Landing Power Plant Hybrid,Dynegy -Moss Landing LLC,CA,NG,"3,732,733","363,680"
Pit 4,Pacific Gas & Electric Co.,CA,WAT,0,"6,250"
Pit 5,Pacific Gas & Electric Co.,CA,WAT,0,"54,383"
Pit 7,Pacific Gas & Electric Co.,CA,WAT,0,"42,540"
Poe,Pacific Gas & Electric Co.,CA,WAT,0,"62,413"
Rock Creek,Pacific Gas & Electric Co.,CA,WAT,0,"48,655"
Geysers Unit 5-20,Geysers Power Co LLC,CA,GEO,0,"367,416"
Limestone,NRG Texas Power LLC,TX,LIG,0,0
Limestone,NRG Texas Power LLC,TX,NG,"61,903","5,180"
Limestone,NRG Texas Power LLC,TX,PC,0,0
Limestone,NRG Texas Power LLC,TX,SUB,"460,944","637,232"
AES Alamitos LLC,AES Alamitos LLC,CA,NG,"2,240",105
Big Creek 3,Southern California Edison Co,CA,WAT,0,"52,637"
Big Creek 4,Southern California Edison Co,CA,WAT,0,"26,617"
Big Creek 2A,Southern California Edison Co,CA,WAT,0,"38,007"
AES Huntington Beach LLC,AES Huntington Beach LLC,CA,NG,0,0
Mammoth Pool,Southern California Edison Co,CA,WAT,0,"37,568"
Ormond Beach,"Ormond Beach Power, LLC",CA,NG,"8,041",96
AES Redondo Beach LLC,AES Redondo Beach LLC,CA,NG,0,0
Mountainview Generating Station,Southern California Edison Co,CA,NG,"109,741","147,924"
Mountainview Generating Station,Southern California Edison Co,CA,NG,"2,749,013","232,982"
Columbia Generating Station,Energy Northwest,WA,NUC,0,"858,425"
Grayson,City of Glendale - (CA),CA,NG,"6,502",667
Dion R Holm,City & County of San Francisco,CA,WAT,0,"38,283"
Moccasin,City & County of San Francisco,CA,WAT,0,"1,750"
R C Kirkwood,City & County of San Francisco,CA,WAT,0,"1,819"
El Centro Hybrid,Imperial Irrigation District,CA,MWH,504,-237
El Centro Hybrid,Imperial Irrigation District,CA,DFO,0,0
El Centro Hybrid,Imperial Irrigation District,CA,NG,0,"21,990"
El Centro Hybrid,Imperial Irrigation District,CA,DFO,0,0
El Centro Hybrid,Imperial Irrigation District,CA,NG,"504,686","44,501"
El Centro Hybrid,Imperial Irrigation District,CA,NG,0,-62
El Centro Hybrid,Imperial Irrigation District,CA,RFO,0,0
Castaic,Los Angeles Department of Water & Power,CA,WAT,0,0
Castaic,Los Angeles Department of Water & Power,CA,WAT,"46,424","-6,069"
Harbor,Los Angeles Department of Water & Power,CA,DFO,0,0
Harbor,Los Angeles Department of Water & Power,CA,NG,0,0
Harbor,Los Angeles Department of Water & Power,CA,OBG,0,0
Harbor,Los Angeles Department of Water & Power,CA,DFO,0,0
Harbor,Los Angeles Department of Water & Power,CA,NG,0,-56
Harbor,Los Angeles Department of Water & Power,CA,OBG,0,0
Harbor,Los Angeles Department of Water & Power,CA,DFO,0,0
Harbor,Los Angeles Department of Water & Power,CA,NG,"47,030","4,614"
Harbor,Los Angeles Department of Water & Power,CA,OBG,0,0
Haynes,Los Angeles Department of Water & Power,CA,DFO,0,0
Haynes,Los Angeles Department of Water & Power,CA,NG,0,"93,086"
Haynes,Los Angeles Department of Water & Power,CA,OBG,0,0
Haynes,Los Angeles Department of Water & Power,CA,DFO,0,0
Haynes,Los Angeles Department of Water & Power,CA,NG,"1,772,497","163,822"
Haynes,Los Angeles Department of Water & Power,CA,OBG,0,0
Haynes,Los Angeles Department of Water & Power,CA,NG,"277,887","29,895"
Haynes,Los Angeles Department of Water & Power,CA,OBG,0,0
Haynes,Los Angeles Department of Water & Power,CA,NG,"199,494","16,963"
Haynes,Los Angeles Department of Water & Power,CA,OBG,0,0
Haynes,Los Angeles Department of Water & Power,CA,RFO,0,0
Scattergood,Los Angeles Department of Water & Power,CA,NG,0,-176
Scattergood,Los Angeles Department of Water & Power,CA,OG,0,0
Scattergood,Los Angeles Department of Water & Power,CA,NG,0,-96
Scattergood,Los Angeles Department of Water & Power,CA,OG,0,0
Scattergood,Los Angeles Department of Water & Power,CA,NG,"344,471","38,507"
Scattergood,Los Angeles Department of Water & Power,CA,OBG,0,0
Scattergood,Los Angeles Department of Water & Power,CA,NG,0,0
Scattergood,Los Angeles Department of Water & Power,CA,OBG,0,0
Valley (CA),Los Angeles Department of Water & Power,CA,DFO,0,0
Valley (CA),Los Angeles Department of Water & Power,CA,NG,0,"11,145"
Valley (CA),Los Angeles Department of Water & Power,CA,OBG,0,0
Valley (CA),Los Angeles Department of Water & Power,CA,DFO,0,0
Valley (CA),Los Angeles Department of Water & Power,CA,NG,"213,362","19,277"
Valley (CA),Los Angeles Department of Water & Power,CA,OBG,0,0
Valley (CA),Los Angeles Department of Water & Power,CA,DFO,0,0
Valley (CA),Los Angeles Department of Water & Power,CA,NG,"20,961","1,995"
Valley (CA),Los Angeles Department of Water & Power,CA,OBG,0,0
Middle Fork,Placer County Water Agency,CA,WAT,0,"33,328"
Camino,Sacramento Municipal Util Dist,CA,WAT,0,"6,971"
